id_delegacia,nome_departamento,nome_seccional,delegacia,nome_seccional_circ,nome_delegacia_circ
110431,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,04º D.P. S.JOSE RIO PRETO,DEL.SEC.1º CENTRO,12º D.P. PARI
110434,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.IBIRÁ,DEL.SEC.1º CENTRO,01º D.P. SE
110435,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.S.JOSE DO RIO PRETO,DEL.POL.TANABI,DEL.SEC.2º SUL,27º D.P.  IBIRAPUERA
110514,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.VOTUPORANGA,DEL.POL.VALENTIM GENTIL,DEL.SEC.6º SANTO AMARO,11º D.P. SANTO AMARO
110517,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.VOTUPORANGA,DEL.POL.MACAUBAL,DEL.SEC.1º CENTRO,08º D.P. BRAS
110523,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.VOTUPORANGA,01º D.P. VOTUPORANGA,DEL.SEC.5º LESTE,56º D.P.  VILA ALPINA
110612,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.FERNANDÓPOLIS,01º D.P. FERNANDOPOLIS,DEL.SEC.6º SANTO AMARO,101º D.P. JDIM IMBUIAS
110616,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.FERNANDÓPOLIS,DEL.INV.GER. FERNANDÓPOLIS,DEL.SEC.3º OESTE,93º D.P. JAGUARÉ
110708,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.CATANDUVA,DEL.SEC.CATANDUVA PLANTÃO,DEL.SEC.CARAPICUIBA,DEL.POL.SANTANA DE PARNAIBA
110709,DEINTER 5 - SAO JOSE DO RIO PRETO,DEL.SEC.FERNANDÓPOLIS,DEL.SEC.FERNANDOPOLIS PLANTÃO,DEL.SEC.2º SUL,97º D.P. AMERICANOPOLIS
